Dependency,Version
python3-oauthlib,2.1.0-1
python3-openssl,19.0.0-1
python3-pkg-resources,40.8.0-1
python3-ply,3.11-3
python3-prettytable,0.7.2-4
python3-pyasn1-modules,0.2.1-0.2
python3-pyasn1,0.4.2-3
python3-pycparser,2.19-1
python3-pycurl,7.43.0.2-0.1
python3-pyparsing,2.2.0+dfsg1-2
python3-redis,3.2.1-2
python3-requests,2.21.0-1
python3-roman,2.0.0-3
python3-rrdtool:amd64,1.7.1-2
python3-serial,3.4-4
python3-service-identity,16.0.0-2
python3-setuptools,40.8.0-1
python3-simplejson,3.16.0-1
python3-six,1.12.0-1
python3-sqlparse,0.2.4-1
python3-twisted-bin:amd64,18.9.0-3+deb10u2
python3-twisted,18.9.0-3+deb10u2
python3-tz,2019.1-1
python3-urllib3,1.24.1-1
python3-venv,3.7.3-1
python3-whisper,1.1.4-2
python3-yaml,3.13-2
python3-zope.interface,4.3.2-1+b2
python3.7-minimal,3.7.3-2+deb10u4
python3.7-venv,3.7.3-2+deb10u4
python3.7,3.7.3-2+deb10u4
python3,3.7.3-1
qpress,11-3.buster
rbenv-2.7.3,1.0.0+github1
rbenv,1.1.1+github2
rdbtools,0.1.14+github2
rdnssd,1.0.4-1
readline-common,7.0-5
reboot-notifier,0.8+github1
redis-tools,5:5.0.14-1+deb10u4
resolvconf,1.79
ripgrep,13.0.0-1+github2
rlwrap,0.43-1+b1
rrdcached,1.7.1-2
rrdtool,1.7.1-2
rsync,3.1.3-6
s2p,1.002+github2
samplicator,1.3.8rc1-0github1
screen,4.6.2-3+deb10u1
sed,4.7-1
sensible-utils,0.0.12
sgml-base,1.29
shared-mime-info,1.10-1
smemstat,0.02.03-1
smistrip,0.4.8+dfsg2-16
snmp-mibs-downloader,1.2
snmp,5.7.3+dfsg-5+deb10u4
snmpd,5.7.3+dfsg-5+deb10u4
socat,1.7.3.2-2
ssl-cert,1.0.39
startpar,0.61-1
strace,4.26-0.2
subversion,1.10.4-1+deb10u3
sudo,1.8.27-1+deb10u5
syslog-ng-core,3.25.1-3+github1
syslog-ng-mod-amqp,3.25.1-3+github1
syslog-ng-mod-geoip2,3.25.1-3+github1
syslog-ng-mod-mongodb,3.25.1-3+github1
syslog-ng-mod-smtp,3.25.1-3+github1
syslog-ng-mod-sql,3.25.1-3+github1
syslog-ng,3.25.1-3+github1
sysstat,12.0.3-2+deb10u1
systemd-sysv,241-7~deb10u9
systemd,241-7~deb10u9
sysv-rc,2.93-8
sysvinit-utils,2.93-8
tar,1.30+dfsg-6
tasksel-data,3.53
tasksel,3.53
tcpd,7.6.q-28
tcpdump,4.9.3-1~deb10u2
tcpflow,1.5.2+repack1-1
telnet-ssl,0.17.41+0.2-3.3+github1
time,1.7-25.1+b1
timelimit,1.9.0-5
tmux,2.8-3+deb10u1
traceroute,1:2.1.0-2
tzdata,2021a-0+deb10u11
ucf,3.0038+nmu1
udev,241-7~deb10u9
ufw,0.36-1
util-linux,2.33.1-0.1
uuid,1.6.2-1.5+b7
vim-common,2:8.1.0875-5+deb10u4
vim-runtime,2:8.1.0875-5+deb10u4
vim-tiny,2:8.1.0875-5+deb10u4
vim,2:8.1.0875-5+deb10u4
virt-what,1:1.21+20211026+b1eae42+github1
vulcanizer,01172023-github1
waagent,2.2.45-4~deb10u1
wget,1.20.1-1.1
whiptail,0.52.20-8
wireguard-tools,1.0.20210424+github1
x11-common,1:7.7+19
xkb-data,2.26-2
xml-core,0.18+nmu1
xmlsec1,1.2.27-2
xtail,2.1-6
xxd,2:8.1.0875-5+deb10u4
xz-utils,5.2.4-1+deb10u1
zlib1g-dbg,1:1.2.11.dfsg-1+deb10u2
zlib1g-dev:amd64,1:1.2.11.dfsg-1+deb10u2
zlib1g:amd64,1:1.2.11.dfsg-1+deb10u2
zstd,1.5.2+github3
