Dependency,Version
libbabeltrace1:amd64,1.5.6-2+deb10u1
libbind9-161:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libbinutils:amd64,2.31.1-16
libblkid1:amd64,2.33.1-0.1
libboost-atomic1.67.0:amd64,1.67.0-13+deb10u1
libboost-filesystem1.67.0:amd64,1.67.0-13+deb10u1
libboost-iostreams1.67.0:amd64,1.67.0-13+deb10u1
libboost-random1.67.0:amd64,1.67.0-13+deb10u1
libboost-regex1.67.0:amd64,1.67.0-13+deb10u1
libboost-system1.67.0:amd64,1.67.0-13+deb10u1
libboost-thread1.67.0:amd64,1.67.0-13+deb10u1
libbrotli1:amd64,1.0.7-2+deb10u1
libbsd0:amd64,0.9.1-2+deb10u1
libbson-1.0-0,1.14.0-1
libbz2-1.0:amd64,1.0.6-9.2~deb10u2
libc-ares2:amd64,1.14.0-1+deb10u2
libc-bin,2.28-10+deb10u2
libc-dev-bin,2.28-10+deb10u2
libc-l10n,2.28-10+deb10u2
libc6-dbg:amd64,2.28-10+deb10u2
libc6-dev:amd64,2.28-10+deb10u2
libc6-i386,2.28-10+deb10u2
libc6:amd64,2.28-10+deb10u2
libcairo2:amd64,1.16.0-4+deb10u1
libcap-ng0:amd64,0.7.9-2
libcap2-bin,1:2.25-2
libcap2:amd64,1:2.25-2
libcilkrts5:amd64,7.4.0-6
libcom-err2:amd64,1.44.5-1+deb10u3
libcomerr2:amd64,1.44.5-1+deb10u3
libcryptsetup12:amd64,2:2.1.0-5+deb10u2
libct4:amd64,1.00.104-1+deb10u1
libcups2:amd64,2.2.10-6+deb10u6
libcurl3-gnutls:amd64,7.64.0-4+deb10u6
libcurl4-openssl-dev:amd64,7.64.0-4+deb10u6
libcurl4:amd64,7.64.0-4+deb10u6
libcurses-perl,1.36-1+b5
libcwidget3v5:amd64,0.5.17-11
libdatrie1:amd64,0.2.12-2
libdaxctl1,63-1.3
libdb5.3:amd64,5.3.28+dfsg1-0.5
libdbd-freetds:amd64,0.9.0-6+b1
libdbd-mysql-perl:amd64,4.050-2
libdbi-perl:amd64,1.642-1+deb10u2
libdbi1:amd64,0.9.0-5+github1
libdbus-1-3:amd64,1.12.24-0+deb10u1
libdbus-glib-1-2:amd64,0.110-4
libde265-0:amd64,1.0.11-0+deb10u4
libdebconfclient0:amd64,0.249
libdevmapper-event1.02.1:amd64,2:1.02.155-3
libdevmapper1.02.1:amd64,2:1.02.155-3
libdns-export1104,1:9.11.5.P4+dfsg-5.1+deb10u8
libdns1104:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libdpkg-perl,1.19.8
libdrm-common,2.4.97-1
libdrm2:amd64,2.4.97-1
libdumbnet1:amd64,1.12-8
libdw1:amd64,0.176-1.1
libeatmydata1:amd64,105-7
libedit2:amd64,3.1-20181209-1
libefiboot1:amd64,37-2+deb10u1
libefivar1:amd64,37-2+deb10u1
libelf1:amd64,0.176-1.1
libencode-locale-perl,1.05-1
liberror-perl,0.17027-2
libesmtp6,1.0.6-4.3
libestr0:amd64,0.1.10-2.1
libev-dev,1:4.25-1
libev4:amd64,1:4.25-1
